"Interface ID","Supplier","Rejection Reason","Value"
"9875","Atlas Services Group Usa Inc-ASI:CMP:1087","The value provided is invalid.","Atlas Services Group Usa Inc- ASI:CMP:1087"
"10059","Aurora-CMP_45846","The value provided is invalid.","Aurora-CMP_45846"
"9290","Austin Office 22803- ASI:LOC:22803","The value provided is invalid.","Austin Office 22803- ASI:LOC:22803"
"9329","Austin Office 23292- ASI:LOC:23292","The value provided is invalid.","Austin Office 23292- ASI:LOC:23292"
"9641","Austin Office 25867- ASI:LOC:25867","The value provided is invalid.","Austin Office 25867- ASI:LOC:25867"
"9530","Auto Owners Insurance Company-ab:96903","The value provided is invalid.","Auto Owners Insurance Company-ab:96903"
"10182","AvalonBay Communities Inc- ab:56293","The value provided is invalid.","AvalonBay Communities Inc- ab:56293"
"9438","Avanti-CMP_53092","The value provided is invalid.","Avanti-CMP_53092"
"9939","Avtex Fibers Inc.- CMP_41934","The value provided is invalid.","Avtex Fibers Inc.-CMP_41934"
"9738","Axis Construction Consulting","The value provided is invalid.","Axis Construction Consulting"
"10214","Azure Advisors Inc- ab:54317","The value provided is invalid.","Azure Advisors Inc-ab:54317"
"9919","B/Fert 0466","The value provided is invalid.","B/Fert 0466"
"9576","BAY AREA REPORTING","The value provided is invalid.","BAY AREA REPORTING"
"10057","BEHLER YOUNG COMPANY- CMP_24793","The value provided is invalid.","BEHLER YOUNG COMPANY-CMP_24793"
"9986","BELLEVUE Office 14165-LOC_14165","The value provided is invalid.","BELLEVUE Office 14165- LOC_14165"
"10212","BELVIEU ENTERPRISES- MMK:CMP:2051","The value provided is invalid.","BELVIEU ENTERPRISES- MMK:CMP:2051"
"12245","BIG POLL & SON CONSTRUCT- CMP_24872","The value provided is invalid.","BIG POLL & SON CONSTRUCT-CMP_24872"
"9908","BIG THREE- MMK:CMP:2069","The value provided is invalid.","BIG THREE- MMK:CMP:2069"
"9514","BLUE NORTHERN BUILDERS INC- GLT:CMP:5","The value provided is invalid.","BLUE NORTHERN BUILDERS INC-GLT:CMP:5"
"9360","BOWATER NORTH AMERIC- MMK:CMP:2098","The value provided is invalid.","BOWATER NORTH AMERIC-MMK:CMP:2098"
"9417","BRANDT HOMES INC- CMP_24997","The value provided is invalid.","BRANDT HOMES INC- CMP_24997"
"9405","BRENNER","The value provided is invalid.","BRENNER"
"9517","BRIAN BOEHLER- GLT:PER:30","The value provided is invalid.","BRIAN BOEHLER- GLT:PER:30"
"9935","BRINKMAN- CMP_25036","The value provided is invalid.","BRINKMAN-CMP_25036"
"10092","BUDD- MMK:CMP:2124","The value provided is invalid.","BUDD-MMK:CMP:2124"
"9928","BYRON ENTERPRISES- CMP_66659","The value provided is invalid.","BYRON ENTERPRISES- CMP_66659"
"9999","BYWATER MARINE- CMP_25155","The value provided is invalid.","BYWATER MARINE- CMP_25155"
"9344","Babin & Seeger","The value provided is invalid.","Babin & Seeger"
"9314","Barbara Haston- PER_23020","The value provided is invalid.","Barbara Haston-PER_23020"
"9987","Barney & Karamanis LLP-ASI:CMP:27008","The value provided is invalid.","Barney & Karamanis LLP- ASI:CMP:27008"
"9894","Barron","The value provided is invalid.","Barron"
"9680","Bayless Es Pta- ASI:CMP:1256","The value provided is invalid.","Bayless Es Pta-ASI:CMP:1256"
"9278","Beaver Mills- CMP_48727","The value provided is invalid.","Beaver Mills-CMP_48727"
"9898","Becker Plating Inc- ab:55869","The value provided is invalid.","Becker Plating Inc-ab:55869"
"10195","Bellefonte Office 16775- LOC_16775","The value provided is invalid.","Bellefonte Office 16775- LOC_16775"
"10032","Ben Bonilla- ASI:CMP:1318","The value provided is invalid.","Ben Bonilla-ASI:CMP:1318"
"9473","Berryman Products","The value provided is invalid.","Berryman Products"
"12258","Bessemer Office 16327- LOC_16327","The value provided is invalid.","Bessemer Office 16327- LOC_16327"
"10121","Bethesda Office 26514- ASI:LOC:26514","The value provided is invalid.","Bethesda Office 26514- ASI:LOC:26514"
"9307","Beverage Management","The value provided is invalid.","Beverage Management"
"10135","Beverly Hills Office 23851-ASI:LOC:23851","The value provided is invalid.","Beverly Hills Office 23851- ASI:LOC:23851"
"10129","Big D Concrete Inc- ASI:CMP:11101","The value provided is invalid.","Big D Concrete Inc- ASI:CMP:11101"
"9752","Bill Mateikis-ab:89543","The value provided is invalid.","Bill Mateikis-ab:89543"
"9457","Birmingham Office 23694-ASI:LOC:23694","The value provided is invalid.","Birmingham Office 23694- ASI:LOC:23694"
"9786","Birmingham Office 3758-LOC_3758","The value provided is invalid.","Birmingham Office 3758- LOC_3758"
"9332","Birmingham Service Shop-CMP_51076","The value provided is invalid.","Birmingham Service Shop- CMP_51076"
"9322","Black","The value provided is invalid.","LLP-ASI:CMP:20231"
"9458","Blackstone Development Inc-ab:100460","The value provided is invalid.","Blackstone Development Inc- ab:100460"
"9442","Blanton Exterminating Co Inc-ASI:CMP:1451","The value provided is invalid.","Blanton Exterminating Co Inc- ASI:CMP:1451"
"10024","Bluebird-CMP_45253","The value provided is invalid.","Bluebird-CMP_45253"
"9338","Boston Office 18303- LOC_18303","The value provided is invalid.","Boston Office 18303- LOC_18303"
"9619","Boston Office 66547- LOC_66547","The value provided is invalid.","Boston Office 66547- LOC_66547"
"9804","Boynton Beach Office 20610-ASI:LOC:20610","The value provided is invalid.","Boynton Beach Office 20610- ASI:LOC:20610"
"9515","Boys & Girls Clubs of America-ab:97846","The value provided is invalid.","Boys & Girls Clubs of America-ab:97846"
"9869","Br Associates","The value provided is invalid.","Inc. Dba:-ASI:CMP:1538"
"10145","Brandeis School- ab:89449","The value provided is invalid.","Brandeis School-ab:89449"
"9483","Bridge Street Service Station-CMP_54103","The value provided is invalid.","Bridge Street Service Station- CMP_54103"
"9275","Bridgefield Employers Insurance Co.- CMP_25031","The value provided is invalid.","Bridgefield Employers Insurance Co.-CMP_25031"
"9809","Bridges Domestic & Sexual Violence Support Service-CMP_63293","The value provided is invalid.","Bridges Domestic & Sexual Violence Support Service- CMP_63293"
"9700","Brighton Landfill- CMP_55774","The value provided is invalid.","Brighton Landfill-CMP_55774"
"9388","Brooklyn Office 25148- ASI:LOC:25148","The value provided is invalid.","Brooklyn Office 25148- ASI:LOC:25148"
"10203","Brown & Brown of Florida","The value provided is invalid.","Brown & Brown of Florida"
"9790","Buchhammer & Kehl","The value provided is invalid.","Buchhammer & Kehl"
"10007","Buckingham Browne & Nichols (account)- ab:96068","The value provided is invalid.","Buckingham Browne & Nichols (account)-ab:96068"
"9911","Buckman-Mitchell","The value provided is invalid.","Buckman-Mitchell"
"9293","Buffalo Office 17390- LOC_17390","The value provided is invalid.","Buffalo Office 17390- LOC_17390"
"9904","Bugs Be Gone Inc- ASI:CMP:1691","The value provided is invalid.","Bugs Be Gone Inc- ASI:CMP:1691"
"9934","Burbank Operable Unit 2-CMP_50503","The value provided is invalid.","Burbank Operable Unit 2- CMP_50503"
"12252","Bureau Of Mine-otis- CMP_52576","The value provided is invalid.","Bureau Of Mine-otis- CMP_52576"
"9347","Butzel Long- CMP_16005","The value provided is invalid.","Butzel Long-CMP_16005"
"10068","Buxbaum","The value provided is invalid.","Buxbaum"
"9859","Byron R & David B Wescott-PER_19888","The value provided is invalid.","Byron R & David B Wescott- PER_19888"
"9652","C & R Battery Co.- CMP_50186","The value provided is invalid.","C & R Battery Co.- CMP_50186"
"9629","C BREWER & COMPANY- CMP_25166","The value provided is invalid.","C BREWER & COMPANY- CMP_25166"
"9983","C&C WINDOW & DOOR CO INC- GLT:CMP:1829","The value provided is invalid.","C&C WINDOW & DOOR CO INC-GLT:CMP:1829"
"9512","C. Erickson & Sons","The value provided is invalid.","C. Erickson & Sons"
"9654","C.H. Wilkinson Physician Network dba Christus Medical Group- ASI:CMP:23680","The value provided is invalid.","C.H. Wilkinson Physician Network dba Christus Medical Group-ASI:CMP:23680"
"9787","CAMPBELL SAND & GRAVEL-CMP_25251","The value provided is invalid.","CAMPBELL SAND & GRAVEL-CMP_25251"
"9926","CAN-DO 69448- LOC_69448","The value provided is invalid.","CAN-DO 69448-LOC_69448"
"10075","CARLYLE ONE DIST- CMP_25310","The value provided is invalid.","CARLYLE ONE DIST- CMP_25310"
"9948","CHARLES A. WEAVER III- CMP_17317","The value provided is invalid.","CHARLES A. WEAVER III- CMP_17317"
"9648","CHARTER BUILDING & DEVELO- CMP_25455","The value provided is invalid.","CHARTER BUILDING & DEVELO-CMP_25455"
"9343","CHET MORRISON CONTRACTORS- CMP_25475","The value provided is invalid.","CHET MORRISON CONTRACTORS- CMP_25475"
"9773","CHRISTY FIREBRICK CO.-CMP_25506","The value provided is invalid.","CHRISTY FIREBRICK CO.- CMP_25506"
"10192","CIM Inc-ab:87478","The value provided is invalid.","CIM Inc-ab:87478"
"9637","CITY OF HARVEY- CMP_25549","The value provided is invalid.","CITY OF HARVEY- CMP_25549"
"12255","CITY OF NEWBURG- CMP_25557","The value provided is invalid.","CITY OF NEWBURG- CMP_25557"
"10199","COHEN LAW OFFICE- CMP_25644","The value provided is invalid.","COHEN LAW OFFICE- CMP_25644"
"9591","COLOR COUNTRY CONSTRUCTION- MLE:CMP:1117","The value provided is invalid.","COLOR COUNTRY CONSTRUCTION- MLE:CMP:1117"
"9792","COMBUSTION EQUIPMENT ASSN- CMP_25678","The value provided is invalid.","COMBUSTION EQUIPMENT ASSN- CMP_25678"
"9653","COMMONWEALTH ENERGY SYST.- CMP_25694","The value provided is invalid.","COMMONWEALTH ENERGY SYST.-CMP_25694"
"9427","CONSOLIDATED FREIGHT-CMP_25736","The value provided is invalid.","CONSOLIDATED FREIGHT-CMP_25736"
"10067","CONSTRUCTION DISPUTE RESOLUTION","The value provided is invalid.","CONSTRUCTION DISPUTE RESOLUTION"
"12230","CONTINENTAL ABRASIVES INC- CMP_25754","The value provided is invalid.","CONTINENTAL ABRASIVES INC- CMP_25754"
"9687","CORNING GLASS WORKS-CMP_25794","The value provided is invalid.","CORNING GLASS WORKS- CMP_25794"
"10155","CORT Business Services Corp-ab:53708","The value provided is invalid.","CORT Business Services Corp-ab:53708"
"9910","CPC - Rsi/plank- CMP_52949","The value provided is invalid.","CPC - Rsi/plank-CMP_52949"
"9981","CRAWFORD LABORATORIES- CMP_25849","The value provided is invalid.","CRAWFORD LABORATORIES- CMP_25849"
"9740","CROWN CENTRAL PETROL- MMK:CMP:2340","The value provided is invalid.","CROWN CENTRAL PETROL-MMK:CMP:2340"
"9425","Cairo-CMP_51904","The value provided is invalid.","Cairo-CMP_51904"
"10019","Cal-West Drywall Inc.- ASI:CMP:1794","The value provided is invalid.","Cal-West Drywall Inc.- ASI:CMP:1794"
"9860","California Construction Resolutions- ASI:CMP:25012","The value provided is invalid.","California Construction Resolutions-ASI:CMP:25012"
"9683","California Department of Insurance 69032- LOC_69032","The value provided is invalid.","California Department of Insurance 69032-LOC_69032"
"9791","California Dept of Insurance 69011- LOC_69011","The value provided is invalid.","California Dept of Insurance 69011-LOC_69011"
"9883","California Imaging- ASI:CMP:21133","The value provided is invalid.","California Imaging- ASI:CMP:21133"
"9890","California Properties- ASI:CMP:11209","The value provided is invalid.","California Properties- ASI:CMP:11209"
"9993","California Service Station #4-CMP_44360","The value provided is invalid.","California Service Station #4- CMP_44360"
"9918","Cameron G Capps- ab:98054","The value provided is invalid.","Cameron G Capps-ab:98054"
"10014","Camp Allen Inc 63195- LOC_63195","The value provided is invalid.","Camp Allen Inc 63195- LOC_63195"
"10167","Cannasure Insurance Services","The value provided is invalid.","Cannasure Insurance Services"
"9762","Canon Solutions America-ab:55281","The value provided is invalid.","Canon Solutions America- ab:55281"
"12226","Capital Eurocar- ASI:CMP:11221","The value provided is invalid.","Capital Eurocar- ASI:CMP:11221"
"10070","Capitol Indemnity Corporation-ab:91535","The value provided is invalid.","Capitol Indemnity Corporation-ab:91535"
"9714","Care Pest Management Inc-ASI:CMP:1865","The value provided is invalid.","Care Pest Management Inc- ASI:CMP:1865"
"9684","Career Connections Staffing Services- CMP_62836","The value provided is invalid.","Career Connections Staffing Services-CMP_62836"
"9414","Caroline Upchurch- ab:89411","The value provided is invalid.","Caroline Upchurch-ab:89411"
"9736","Castle Llc Dba Castle Construction- ASI:CMP:1926","The value provided is invalid.","Castle Llc Dba Castle Construction-ASI:CMP:1926"
"9597","Castro Valley & Stanton (Thrifty Station # 54)- CMP_50749","The value provided is invalid.","Castro Valley & Stanton (Thrifty Station # 54)- CMP_50749"
"9378","Cati Environmental & Consturction","The value provided is invalid.","Cati Environmental & Consturction"
"9769","Cdw Construction Inc.- ASI:CMP:1953","The value provided is invalid.","Cdw Construction Inc.- ASI:CMP:1953"
"10116","Chalk 2-13-CMP_52012","The value provided is invalid.","Chalk 2-13-CMP_52012"
"9352","Charles Luukinen- ASI:PER:27174","The value provided is invalid.","Charles Luukinen- ASI:PER:27174"
"9599","Cherry","The value provided is invalid.","P.C.-ASI:CMP:23990"
"10066","Cheryl Yeverino- ab:87995","The value provided is invalid.","Cheryl Yeverino-ab:87995"
"9539","Chicago Office 15861- LOC_15861","The value provided is invalid.","Chicago Office 15861- LOC_15861"
"9775","Chicago Office 20658- ASI:LOC:20658","The value provided is invalid.","Chicago Office 20658- ASI:LOC:20658"
"9601","Choiceland","The value provided is invalid.","Choiceland"
"9324","Christina Washington- ab:91701","The value provided is invalid.","Christina Washington- ab:91701"
"10221","Christine Carrier- ASI:PER:2123","The value provided is invalid.","Christine Carrier- ASI:PER:2123"
"9906","Christopher Filer- ab:101054","The value provided is invalid.","Christopher Filer-ab:101054"
"10006","Christopher J Soelling","The value provided is invalid.","Christopher J Soelling"
"9400","Cintas Corporation- ab:55485","The value provided is invalid.","Cintas Corporation-ab:55485"
"9650","Civerolo Gralow Hill & Curtis PA-ab:61444","The value provided is invalid.","Civerolo Gralow Hill & Curtis PA-ab:61444"
"9469","Clark Pest Remedy Inc- ASI:CMP:2183","The value provided is invalid.","Clark Pest Remedy Inc- ASI:CMP:2183"
"9881","Cliffside Nursing Home","The value provided is invalid.","Cliffside Nursing Home"
"9779","Clifton Plant- CMP_49250","The value provided is invalid.","Clifton Plant-CMP_49250"
"9616","Cole Davis- GLT:PER:130","The value provided is invalid.","Cole Davis-GLT:PER:130"
"9569","Collette Newman- PER_19887","The value provided is invalid.","Collette Newman-PER_19887"
"9439","Colonial Nursing Home- ASI:CMP:26203","The value provided is invalid.","Colonial Nursing Home- ASI:CMP:26203"
"9546","Colorado Springs Office 25471-ASI:LOC:25471","The value provided is invalid.","Colorado Springs Office 25471-ASI:LOC:25471"
"9316","Columbia MGP (Former)-CMP_46322","The value provided is invalid.","Columbia MGP (Former)- CMP_46322"
"9952","Columbus Office 20579- ASI:LOC:20579","The value provided is invalid.","Columbus Office 20579- ASI:LOC:20579"
"10031","Commonwealth Gas Systems-CMP_53279","The value provided is invalid.","Commonwealth Gas Systems- CMP_53279"
"9639","Commonwealth of Pennsylvania 68554- LOC_68554","The value provided is invalid.","Commonwealth of Pennsylvania 68554- LOC_68554"
"9941","Complete Legal- CMP_63612","The value provided is invalid.","Complete Legal-CMP_63612"
"9834","Concentric Security Resources","The value provided is invalid.","Concentric Security Resources"
"10072","Concord Youth Hockey Association-CMP_63236","The value provided is invalid.","Concord Youth Hockey Association-CMP_63236"
"9950","Concordia MGP- CMP_46198","The value provided is invalid.","Concordia MGP-CMP_46198"
"9403","Construction Bonding & Management-ab:57315","The value provided is invalid.","Construction Bonding & Management-ab:57315"
"9496","Construction Science And Engineering Inc- ab:98148","The value provided is invalid.","Construction Science And Engineering Inc-ab:98148"
"9537","Continental Can Co 2- CMP_53477","The value provided is invalid.","Continental Can Co 2- CMP_53477"
"9824","Continental Development Corporation-ab:97751","The value provided is invalid.","Continental Development Corporation-ab:97751"
"10055","Controller of the State of California 69046- LOC_69046","The value provided is invalid.","Controller of the State of California 69046-LOC_69046"
"9861","Cooper Tire & Rubber Co-ab:53900","The value provided is invalid.","Cooper Tire & Rubber Co- ab:53900"
"9409","Corpus Christi Service Shop-CMP_50150","The value provided is invalid.","Corpus Christi Service Shop- CMP_50150"
"12235","Corvallis Office 21111- ASI:LOC:21111","The value provided is invalid.","Corvallis Office 21111- ASI:LOC:21111"
"9777","Costa Mesa Office 16633-LOC_16633","The value provided is invalid.","Costa Mesa Office 16633- LOC_16633"
"9657","County of Monterey- ab:53644","The value provided is invalid.","County of Monterey-ab:53644"
"10086","Craig Supply Company- CMP_51591","The value provided is invalid.","Craig Supply Company- CMP_51591"
"9644","Crain Lewis","The value provided is invalid.","Crain Lewis"
